4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,182,114,119,78
4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,307,227,118,86
4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,191,73,123,75
4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,387,263,132,76
4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,117,-35,135,67
7,dff823faa3c5d538695fcf6f9e5d09eb.jpg,BAD_BILLBOARD,66,18,95,69
7,dff823faa3c5d538695fcf6f9e5d09eb.jpg,BAD_BILLBOARD,110,65,100,70
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,478,430,123,93
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,452,403,123,91
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,111,65,119,83
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,250,188,120,86
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,96,28,124,81
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,171,120,124,81
4,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,289,232,116,80
4,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,150,0,150,50
4,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,220,150,116,75
4,56f904f8056ee4d72a5f6bbe03ea762e.jpg,CONSTRUCTION_ROAD,190,91,130,62
3,03711fa7bd1fa908a0abebea05caafc7.jpg,GARBAGE,387,315,210,159
0,03711fa7bd1fa908a0abebea05caafc7.jpg,GRAFFITI,352,259,134,58
3,03711fa7bd1fa908a0abebea05caafc7.jpg,GARBAGE,345,307,247,210
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,504,381,101,60
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,372,234,109,68
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,229,122,117,75
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,518,302,183,68
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,429,328,105,64
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,234,-64,215,83
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,87,-26,129,78
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,169,41,123,76
7,a6781594f95fb8b4c0c85bc41b4449fd.jpg,BAD_BILLBOARD,444,380,87,57
9,42f7ed6fe6eb1fa5062c00649884bcef.jpg,CLUTTER_SIDEWALK,144,-44,140,74
3,42f7ed6fe6eb1fa5062c00649884bcef.jpg,GARBAGE,227,191,127,100
3,42f7ed6fe6eb1fa5062c00649884bcef.jpg,GARBAGE,252,220,101,79
2,95f665cddaff1c44880954a8ecc9f74e.jpg,POTHOLES,451,348,253,158
3,95f665cddaff1c44880954a8ecc9f74e.jpg,GARBAGE,39,10,160,136
3,fbf367e6d83dc6c8fac32569b5f10c4a.jpg,GARBAGE,232,191,212,178
3,fbf367e6d83dc6c8fac32569b5f10c4a.jpg,GARBAGE,243,203,195,161
3,fbf367e6d83dc6c8fac32569b5f10c4a.jpg,GARBAGE,257,31,180,64
3,fbf367e6d83dc6c8fac32569b5f10c4a.jpg,GARBAGE,190,104,264,225
3,e35ce8b0fa4abfe1dc0f912a1d9170a9.jpg,GARBAGE,239,192,107,70
3,e35ce8b0fa4abfe1dc0f912a1d9170a9.jpg,GARBAGE,204,165,133,100
3,e35ce8b0fa4abfe1dc0f912a1d9170a9.jpg,GARBAGE,450,407,211,177
3,e35ce8b0fa4abfe1dc0f912a1d9170a9.jpg,GARBAGE,202,159,161,123
3,e35ce8b0fa4abfe1dc0f912a1d9170a9.jpg,GARBAGE,488,452,206,167
3,e35ce8b0fa4abfe1dc0f912a1d9170a9.jpg,GARBAGE,200,162,110,78
9,3bfc7dcc43f2f036f2e701f4891a5122.jpg,CLUTTER_SIDEWALK,522,322,205,143
9,3bfc7dcc43f2f036f2e701f4891a5122.jpg,CLUTTER_SIDEWALK,222,-49,197,136
3,3bfc7dcc43f2f036f2e701f4891a5122.jpg,GARBAGE,88,45,178,150
0,44e6386766216062ef21502ffea3e2bc.jpg,GRAFFITI,343,212,129,43
9,0b55874525b539ac5d2e93c0d2e06957.jpg,CLUTTER_SIDEWALK,152,35,126,90
7,0b55874525b539ac5d2e93c0d2e06957.jpg,BAD_BILLBOARD,381,340,81,49
8,0b55874525b539ac5d2e93c0d2e06957.jpg,SAND_ON_ROAD,383,340,81,49
7,0b55874525b539ac5d2e93c0d2e06957.jpg,BAD_BILLBOARD,323,289,84,60
3,0b55874525b539ac5d2e93c0d2e06957.jpg,GARBAGE,433,384,97,71
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,479,393,154,111
10,76709085d3e8252acd600a5b7edf516c.jpg,UNKEPT_FACADE,478,396,156,109
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,292,253,143,116
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,202,148,142,116
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,247,188,142,116
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,209,164,144,114
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,164,106,142,114
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,126,81,140,111
0,76709085d3e8252acd600a5b7edf516c.jpg,GRAFFITI,353,265,147,113
9,d71f903888b6fd014448cc1790305a30.jpg,CLUTTER_SIDEWALK,45,-13,169,110
9,d71f903888b6fd014448cc1790305a30.jpg,CLUTTER_SIDEWALK,373,258,166,119
3,581b397de6b2b1f81f5d47cfa2dcf20f.jpg,GARBAGE,269,246,104,86
3,42d1e83d894ed7653a1709c2059e9005.jpg,GARBAGE,78,41,181,153
3,42d1e83d894ed7653a1709c2059e9005.jpg,GARBAGE,89,40,141,104
3,3a26dfa41bc55045d7328abb4aa053a0.jpg,GARBAGE,161,127,144,119
3,3a26dfa41bc55045d7328abb4aa053a0.jpg,GARBAGE,116,71,118,86
4,b6c51082e8fcda21221cbd628a7b2124.jpg,CONSTRUCTION_ROAD,178,-55,294,87
4,b6c51082e8fcda21221cbd628a7b2124.jpg,CONSTRUCTION_ROAD,331,32,278,83
4,b6c51082e8fcda21221cbd628a7b2124.jpg,CONSTRUCTION_ROAD,553,203,263,78
3,3c010467854fa2f8560122078cb176f9.jpg,GARBAGE,488,381,171,133
3,3c010467854fa2f8560122078cb176f9.jpg,GARBAGE,184,127,243,175
3,3c010467854fa2f8560122078cb176f9.jpg,GARBAGE,466,437,152,129
3,3c010467854fa2f8560122078cb176f9.jpg,GARBAGE,476,433,168,139
2,3c010467854fa2f8560122078cb176f9.jpg,POTHOLES,185,128,245,174
4,e21b1075eb5569a3b11d1a6a4b868c8c.jpg,CONSTRUCTION_ROAD,543,276,241,5
4,e21b1075eb5569a3b11d1a6a4b868c8c.jpg,CONSTRUCTION_ROAD,377,149,122,40
